,tarea_id,creacion_tarea_grizzly,is_subtarea,parent_id,proyecto_id,duracion_total_planeada_tarea,duracion_real_total_tarea,id_registro_declaracion,fecha_registro_grizzly_empleado,fecha_tarea_empleado,duracion_parcial_tarea,fuente,empleado_id,creacion_proyecto_grizzly,team_id,duracion_total_planeada_projecto,duracion_real_total_projecto,creacion_team_grizzly,eliminacion_team_grizzly,fecha_subcripcion_empresa_grizzly,fecha_deshabilitacion_empresa_grizzly,estado,oferta,inicio_prueba_en,finalizacion_prueba_en,duracion_meses_team
1658014,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,3b2b407b-8ef6-46a4-ad77-3cf0036efc4c,2021-12-14 17:26:00.522736+00:00,2021-12-13,8.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658015,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,6298275c-574b-4250-bcb5-b77bfd58fb4c,2021-12-15 18:52:04.412650+00:00,2021-12-15,8.0,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658016,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,ba043959-4148-4255-bc58-638d140c8a01,2021-12-31 13:00:41.230508+00:00,2021-12-17,8.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658017,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,6ff138b9-147a-48e2-8d79-ed4cd8c8c6af,2021-12-31 13:04:45.274306+00:00,2021-12-21,1.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658019,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,d577fd12-7540-4232-9abf-a24abc033140,2021-12-31 13:05:12.572118+00:00,2021-12-22,1.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658063,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,9edb28d6-1fd7-43f8-9da2-15efbcab071b,2021-12-31 13:08:47.391229+00:00,2021-12-27,4.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658018,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,23037d00-0599-4a13-b71a-c126f3193119,2021-12-31 13:09:39.049070+00:00,2021-12-29,2.4,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658020,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,4db98910-072a-426f-8ee4-da350e148a8f,2021-12-31 13:10:57.649857+00:00,2021-12-30,3.2,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658021,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,982f6562-115b-4912-a080-3b08981afa65,2021-12-31 13:11:26.022426+00:00,2021-12-31,0.8,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658029,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,219e75b9-3d2a-47e9-bb94-98c46b59a1a3,2022-01-28 08:40:21.318525+00:00,2022-01-03,8.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658026,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,f26f05b0-b951-4b22-b42c-f5c9f1bc6fa3,2022-01-28 08:45:02.973654+00:00,2022-01-04,4.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658024,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,df131845-6730-4a71-89fa-278c3c0c119b,2022-01-28 08:41:44.519721+00:00,2022-01-05,4.8,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658025,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,41c34d89-9657-4621-8ec4-f9eb1823e687,2022-01-28 08:44:12.644159+00:00,2022-01-06,6.4,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658023,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,45ab473d-9965-4e05-9e69-d13cd4a6b6dc,2022-01-28 08:41:02.099708+00:00,2022-01-07,8.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658034,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,3137d641-0364-4537-939c-6a3010544610,2022-01-28 08:58:51.967993+00:00,2022-01-10,5.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658038,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,e6a0dbf8-a622-49f3-be9e-3b5a836cabd2,2022-01-28 09:01:44.434804+00:00,2022-01-13,7.2,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658039,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,9c442fae-f247-4d4e-ada1-b9be0eece620,2022-01-28 09:02:33.707609+00:00,2022-01-14,1.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658033,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,c3d3cbc3-613b-4290-8975-282c829d37a7,2022-01-28 08:53:39.547211+00:00,2022-01-17,6.4,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658036,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,e75a5803-ba47-4bb3-8e8d-827c7034d709,2022-01-28 08:52:38.074794+00:00,2022-01-18,4.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658037,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,7bf87934-5618-4617-bc16-fed434d124e7,2022-01-28 08:54:19.095500+00:00,2022-01-19,9.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658032,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,165ad8fc-eea1-43dd-8f1f-4fe94684e015,2022-01-28 08:51:25.134017+00:00,2022-01-20,4.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658035,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,8b1fcfe7-ca98-4904-8a49-da208476dc09,2022-01-28 08:51:49.749875+00:00,2022-01-21,3.2,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658030,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,5544a54a-091a-4033-b60c-4e78c7b21ac5,2022-01-28 08:46:01.695416+00:00,2022-01-24,8.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658027,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,3951a7e1-9873-41c7-be37-fddcc2e5c61c,2022-01-28 08:46:49.746046+00:00,2022-01-25,0.8,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658028,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,f8778b18-1660-4b08-838a-ab2df2e7bc11,2022-01-28 08:47:36.165752+00:00,2022-01-26,8.0,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658031,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,87a22abf-9d24-4dc6-8e83-4a2a7a9befea,2022-01-28 08:48:49.211528+00:00,2022-01-28,1.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658003,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,292c5eda-f352-4cc3-90f0-68830d82c093,2022-02-01 09:51:51.804336+00:00,2022-01-31,2.4,bot,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658022,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,aa5c4016-df51-45f8-936c-c54fe689c341,2022-02-14 13:48:01.946706+00:00,2022-02-11,1.6,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
1658040,10fe3647-4ba7-47b9-8763-231a0ba26013,2021-11-08 16:25:49.327614+00:00,f,,bb8a17de-51c9-4179-bed8-38fac566adf9,96.0,351.5,750fb803-6323-4472-92bb-cb75222dba69,2022-02-14 16:02:42.536939+00:00,2022-02-14,0.8,app,2ffd3ee3-7109-4e8b-bf14-d486b7d3aa82,2021-11-08 16:22:16.358541+00:00,114dab26-c8bb-4ee6-970b-1b9f973e6809,160.0,413.1,2021-10-18 09:32:10.230121+00:00,2023-06-25 00:00:00.407701+00:00,2022-11-19 14:36:11+00:00,2022-12-26 00:00:59.552770+00:00,disabled,time,2021-10-18 09:32:10.265153+00:00,,20.0
